Product Name,Colors,Original Price ($),Discounted Price ($),Image1,Image2
High Rise Vintage Slim Jeans,2 colors,69.95,27.0,https://www.gap.com/webcontent/0055/261/404/cn55261404.jpg,https://www.gap.com/webcontent/0055/260/713/cn55260713.jpg
Easy Denim Cargo Joggers,1 color,79.95,31.0,https://www.gap.com/webcontent/0054/409/390/cn54409390.jpg,https://www.gap.com/webcontent/0054/408/668/cn54408668.jpg
Mid Rise Baby Boot Jean,5 colors,79.95,31.0,https://www.gap.com/webcontent/0054/884/978/cn54884978.jpg,https://www.gap.com/webcontent/0054/884/047/cn54884047.jpg
High Rise Cheeky Straight Jeans,2 colors,89.95,35.0,https://www.gap.com/webcontent/0054/884/047/cn54884047.jpg,https://www.gap.com/webcontent/0055/299/962/cn55299962.jpg
Mid Rise '90s Loose Cargo Jeans,1 color,89.95,26.0,https://www.gap.com/webcontent/0057/122/707/cn57122707.jpg,https://www.gap.com/webcontent/0057/122/716/cn57122716.jpg
High Rise Vintage Slim Jeans,2 colors,69.95,20.0,https://www.gap.com/webcontent/0054/321/182/cn54321182.jpg,https://www.gap.com/webcontent/0054/320/724/cn54320724.jpg
Wide-Leg Denim Pull-On Pants,1 color,69.95,20.0,https://www.gap.com/webcontent/0055/428/198/cn55428198.jpg,https://www.gap.com/webcontent/0055/428/075/cn55428075.jpg
